"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 18 15:18:56 UTC 2026","Thu Jun 18 15:19:20 UTC 2026","23996","","Product Search After Admin Login","","Verify the user can order the product ""ADIDAS ORIGINAL"" successfully from homepage to confirm page","","Verify the user can order the product ""ADIDAS ORIGINAL"" successfully from homepage to confirm page",""
"passed","Thu Jun 18 15:18:56 UTC 2026","Thu Jun 18 15:19:20 UTC 2026","24561","","Product Search After Admin Login","","Verify the user can order the product ""ZARA COAT 3"" successfully from homepage to confirm page","","Verify the user can order the product ""ZARA COAT 3"" successfully from homepage to confirm page",""
"passed","Thu Jun 18 15:18:56 UTC 2026","Thu Jun 18 15:19:39 UTC 2026","43664","","Product Search After Admin Login","","Verify the user can order the product ""iphone 13 pro"" successfully from homepage to confirm page","","Verify the user can order the product ""iphone 13 pro"" successfully from homepage to confirm page",""
"broken","Thu Jun 18 15:19:44 UTC 2026","Thu Jun 18 15:19:47 UTC 2026","2508","","Product Search After Admin Login","","Verify the user can order the product ""ADIDAS ORIGINAL,ZARA COAT 3,iphone 13 pro"" successfully from homepage to confirm page","","Verify the user can order the product ""ADIDAS ORIGINAL,ZARA COAT 3,iphone 13 pro"" successfully from homepage to confirm page",""
