"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 28 14:25:07 UTC 2026","Thu May 28 14:25:27 UTC 2026","19806","","Product Search After Admin Login","","Verify the user can order the product ""ZARA COAT 3"" successfully from homepage to confirm page","","Verify the user can order the product ""ZARA COAT 3"" successfully from homepage to confirm page",""
"passed","Thu May 28 14:25:27 UTC 2026","Thu May 28 14:25:46 UTC 2026","19256","","Product Search After Admin Login","","Verify the user can order the product ""iphone 13 pro"" successfully from homepage to confirm page","","Verify the user can order the product ""iphone 13 pro"" successfully from homepage to confirm page",""
"failed","Thu May 28 14:27:23 UTC 2026","Thu May 28 14:28:56 UTC 2026","93175","","Product Search After Admin Login","","Verify the user can order the product ""ADIDAS ORIGINAL,ZARA COAT 3,iphone 13 pro"" successfully from homepage to confirm page","","Verify the user can order the product ""ADIDAS ORIGINAL,ZARA COAT 3,iphone 13 pro"" successfully from homepage to confirm page",""
"passed","Thu May 28 14:24:38 UTC 2026","Thu May 28 14:25:07 UTC 2026","29191","","Product Search After Admin Login","","Verify the user can order the product ""ADIDAS ORIGINAL"" successfully from homepage to confirm page","","Verify the user can order the product ""ADIDAS ORIGINAL"" successfully from homepage to confirm page",""
